feature,weights,abs_weights,sig
CD44,0.9648246315659963,0.9648246315659963,+
COLEC12,0.7518035019104364,0.7518035019104364,+
OSMR-AS1,0.68895707880011,0.68895707880011,+
OSMR,0.655117252818289,0.655117252818289,+
CNN3,0.641592359359671,0.641592359359671,+
DDR2,0.6108153450180989,0.6108153450180989,+
ASAP3,0.6087912757093262,0.6087912757093262,+
CNTNAP3B,0.5878079344915557,0.5878079344915557,+
EMP1,0.5807274941531104,0.5807274941531104,+
AQP1,0.5738212119781075,0.5738212119781075,+
AL355974.2,0.5437461598682989,0.5437461598682989,+
TMTC1,0.5397614060338651,0.5397614060338651,+
CNTNAP3P2,0.5395471396881618,0.5395471396881618,+
CHI3L1,0.5363514832121055,0.5363514832121055,+
GYG2,0.5210196158052778,0.5210196158052778,+
ITPKB,0.5111974434374765,0.5111974434374765,+
