Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	10/91	1.3710544209570394e-10	1.8372129240824327e-08	0	0	22.847582785277492	518.8747929969163	LYN;HCK;SCIN;PTPRC;SYK;INPP5D;PLCG2;PLA2G4A;DOCK2;VAV1
KEGG_2019_Human	Fc epsilon RI signaling pathway	8/68	5.9399793935720496e-09	3.7634988705553727e-07	0	0	24.248318042813448	459.3009752940752	LYN;SYK;ALOX5;INPP5D;PLCG2;PLA2G4A;LCP2;VAV1
KEGG_2019_Human	B cell receptor signaling pathway	8/71	8.42574374004934e-09	3.7634988705553727e-07	0	0	23.090141255278873	429.2913078799334	LYN;SYK;INPP5D;BLNK;PLCG2;NFATC2;PIK3AP1;VAV1
KEGG_2019_Human	Platelet activation	9/124	4.750601500082361e-08	1.591451502527591e-06	0	0	14.32463768115942	241.54790655216868	LYN;APBB1IP;P2RY12;SYK;TBXAS1;PLCG2;PLA2G4A;LCP2;PIK3R5
KEGG_2019_Human	Osteoclast differentiation	8/127	8.090900161082314e-07	2.1683612431700604e-05	0	0	12.189653843188653	170.98860980279846	CSF1R;SYK;PLCG2;BLNK;NFATC2;LCP2;TGFBR1;TGFBR2
KEGG_2019_Human	Tuberculosis	9/179	1.0855657133268853e-06	2.4244300930967103e-05	0	0	9.663235294117648	132.70916557305108	C3;CD74;CIITA;ITGAM;SYK;IL18;ITGAX;CTSS;TLR2
KEGG_2019_Human	Complement and coagulation cascades	6/79	6.914176540429894e-06	0.00013235709377394368	0	0	14.66864124398371	174.2918664870808	C1QB;C3;ITGAM;ITGAX;VSIG4;A2M
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	8/186	1.3835608373072448e-05	0.00023174644024896346	0	0	8.1249355736522	90.90393208018736	CD86;C3;LYN;HCK;SYK;PLCG2;NFATC2;PIK3R5
KEGG_2019_Human	Cytokine-cytokine receptor interaction	9/294	5.8516680154582836e-05	0.0008712483489682335	0	0	5.730409356725147	55.84970830046314	CX3CR1;CSF1R;IL4R;CSF3R;IL18;TNFRSF1B;TGFBR1;IL13RA1;TGFBR2
KEGG_2019_Human	Transcriptional misregulation in cancer	7/186	0.00011265004145280984	0.001509510555467652	0	0	7.004977145759269	63.683820011332884	CD86;CSF1R;ITGAM;BMP2K;FLI1;RUNX1;TGFBR2
KEGG_2019_Human	Legionellosis	4/55	0.00030136060030978206	0.003555477416065756	0	0	13.765052923824394	111.59607839470556	C3;ITGAM;IL18;TLR2
KEGG_2019_Human	T cell receptor signaling pathway	5/101	0.0003184009626327543	0.003555477416065756	0	0	9.201543898809524	74.09266332259642	PTPRC;NFATC2;MAP3K8;LCP2;VAV1
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	5/103	0.00034864955172094245	0.0035937723023543307	0	0	9.012846209912537	71.75526398220343	C3;C1QB;TGFBR1;TGFBR2;TLR2
KEGG_2019_Human	Th17 cell differentiation	5/107	0.00041562105261631687	0.003978087217899033	0	0	8.65765056022409	67.40618721823581	IL4R;NFATC2;TGFBR1;RUNX1;TGFBR2
KEGG_2019_Human	Chemokine signaling pathway	6/190	0.0008877104087566355	0.007930212984892613	0	0	5.787015276145711	40.66457500827871	LYN;CX3CR1;HCK;DOCK2;VAV1;PIK3R5
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	5/131	0.0010412546513998786	0.008720507705473984	0	0	7.0000708616780045	48.071788911986324	SYK;PLCG2;NFATC2;LCP2;VAV1
KEGG_2019_Human	PI3K-Akt signaling pathway	8/354	0.0011387789621298886	0.00897625770149442	0	0	4.144243516996341	28.088848224380477	CSF1R;IL4R;CSF3R;SYK;LPAR6;PIK3AP1;TLR2;PIK3R5
KEGG_2019_Human	Primary immunodeficiency	3/37	0.0013113538739657825	0.009762301061745268	0	0	15.363003095975232	101.95956865694455	CIITA;PTPRC;BLNK
KEGG_2019_Human	Phospholipase D signaling pathway	5/148	0.0017878515487392895	0.012609058291108671	0	0	6.1625874125874125	38.989092182145576	SYK;LPAR6;PLCG2;PLA2G4A;PIK3R5
KEGG_2019_Human	Phagosome	5/152	0.002009194898986734	0.01346160582321112	0	0	5.9936831875607375	37.220899570448815	C3;MSR1;ITGAM;CTSS;TLR2
KEGG_2019_Human	NF-kappa B signaling pathway	4/95	0.0023514205915485826	0.015004302822262387	0	0	7.69892054847807	46.59953068878794	LYN;SYK;BLNK;PLCG2
KEGG_2019_Human	Hematopoietic cell lineage	4/97	0.0025364362312531802	0.015449202499451191	0	0	7.5325911123798655	45.02226123652992	CSF1R;CSF3R;IL4R;ITGAM
KEGG_2019_Human	Pathways in cancer	9/530	0.0039634039685555655	0.023091136164628084	0	0	3.096928982725528	17.128036580347324	CSF1R;IL4R;CSF3R;LPAR6;PLCG2;TGFBR1;RUNX1;IL13RA1;TGFBR2
KEGG_2019_Human	Toxoplasmosis	4/113	0.0043889555058894865	0.024505001574549632	0	0	6.421693594219373	34.86121687230281	CIITA;ALOX5;PIK3R5;TLR2
KEGG_2019_Human	VEGF signaling pathway	3/59	0.00499838335237168	0.0267913347687122	0	0	9.317199248120302	49.36849159664175	PLCG2;PLA2G4A;NFATC2
KEGG_2019_Human	Lysosome	4/123	0.005919182876724219	0.029449890389014625	0	0	5.879080835874173	30.15707947444274	SLC11A1;LAPTM5;CTSS;CTSC
KEGG_2019_Human	Arachidonic acid metabolism	3/63	0.006003483322725326	0.029449890389014625	0	0	8.694298245614036	44.47494735014511	ALOX5;TBXAS1;PLA2G4A
KEGG_2019_Human	Inflammatory bowel disease (IBD)	3/65	0.006548040216732585	0.029449890389014625	0	0	8.412988115449915	42.30546351300961	IL4R;IL18;TLR2
KEGG_2019_Human	Viral carcinogenesis	5/201	0.006593259042316707	0.029449890389014625	0	0	4.48410167638484	22.517847059937854	C3;LYN;SP100;SCIN;SYK
KEGG_2019_Human	Epstein-Barr virus infection	5/201	0.006593259042316707	0.029449890389014625	0	0	4.48410167638484	22.517847059937854	LYN;SYK;PLCG2;BLNK;TLR2
KEGG_2019_Human	Acute myeloid leukemia	3/66	0.006830988865846517	0.029527500258820425	0	0	8.279030910609857	41.281614542021934	CSF1R;ITGAM;RUNX1
KEGG_2019_Human	Rap1 signaling pathway	5/206	0.007295325331367661	0.030123401748420094	0	0	4.371446339729922	21.50979570736217	APBB1IP;CSF1R;FYB1;ITGAM;LCP2
KEGG_2019_Human	Staphylococcus aureus infection	3/68	0.007418449684312413	0.030123401748420094	0	0	8.023481781376518	39.345431059999115	C1QB;C3;ITGAM
KEGG_2019_Human	Regulation of actin cytoskeleton	5/214	0.008524726548581905	0.03359745169146986	0	0	4.202409432672591	20.02357462455587	SCIN;ITGAM;ITGAX;NCKAP1L;VAV1
KEGG_2019_Human	Leishmaniasis	3/74	0.009356256159279677	0.03582109500981361	0	0	7.343217197924387	34.30538159381838	C3;ITGAM;TLR2
KEGG_2019_Human	Chronic myeloid leukemia	3/76	0.010061640041188915	0.03643945312214364	0	0	7.141312184571017	32.84307399545198	TGFBR1;RUNX1;TGFBR2
KEGG_2019_Human	Pertussis	3/76	0.010061640041188915	0.03643945312214364	0	0	7.141312184571017	32.84307399545198	C1QB;C3;ITGAM
KEGG_2019_Human	Antigen processing and presentation	3/77	0.010425625518030222	0.03676404787936973	0	0	7.044452347083926	32.14727735479533	CD74;CIITA;CTSS
KEGG_2019_Human	Oxytocin signaling pathway	4/153	0.012528101181784908	0.0430452707271584	0	0	4.688246124606522	20.533491596710466	TRPM2;PLA2G4A;NFATC2;PIK3R5
KEGG_2019_Human	Cellular senescence	4/160	0.014552153652638981	0.04874971473634058	0	0	4.476287724075335	18.9347699421234	NFATC2;TGFBR1;ZFP36L1;TGFBR2
KEGG_2019_Human	Hepatitis B	4/163	0.01547933186210292	0.0505909870615071	0	0	4.391161573996772	18.303457356290576	NFATC2;TGFBR1;TGFBR2;TLR2
KEGG_2019_Human	Rheumatoid arthritis	3/91	0.016326921331681	0.05209065377250605	0	0	5.919557416267942	24.35862310995656	CD86;IL18;TLR2
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	3/100	0.020928964011676602	0.06373820858101513	0	0	5.367878459034183	20.75555287159468	PLCG2;TGFBR1;TGFBR2
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	3/100	0.020928964011676602	0.06373820858101513	0	0	5.367878459034183	20.75555287159468	PRKCH;PLCG2;PLA2G4A
KEGG_2019_Human	Toll-like receptor signaling pathway	3/104	0.02317963868782861	0.06752329530802248	0	0	5.1542470036477335	19.403065061072926	CD86;MAP3K8;TLR2
KEGG_2019_Human	C-type lectin receptor signaling pathway	3/104	0.02317963868782861	0.06752329530802248	0	0	5.1542470036477335	19.403065061072926	SYK;PLCG2;NFATC2
KEGG_2019_Human	Leukocyte transendothelial migration	3/112	0.02806038085273433	0.08000193689928511	0	0	4.774022211492033	17.059474889734616	ITGAM;PLCG2;VAV1
KEGG_2019_Human	MAPK signaling pathway	5/295	0.02974183988582215	0.08302930301458683	0	0	3.0161637931034484	10.602420395682444	CSF1R;PLA2G4A;MAP3K8;TGFBR1;TGFBR2
KEGG_2019_Human	Malaria	2/49	0.03337489601227469	0.08944472131289617	0	0	7.3398704902867715	24.955202053831897	IL18;TLR2
KEGG_2019_Human	Ovarian steroidogenesis	2/49	0.03337489601227469	0.08944472131289617	0	0	7.3398704902867715	24.955202053831897	ALOX5;PLA2G4A
KEGG_2019_Human	Human immunodeficiency virus 1 infection	4/212	0.03602873280397155	0.0946637293280821	0	0	3.3483662355343773	11.1280893443955	PLCG2;NFATC2;TNFRSF1B;TLR2
KEGG_2019_Human	Systemic lupus erythematosus	3/133	0.043253169301857484	0.11146009012401736	0	0	3.998582995951417	12.558288715499446	CD86;C3;C1QB
KEGG_2019_Human	Long-term depression	2/60	0.04820271557307312	0.1218710167319207	0	0	5.944527736131934	18.025828758763684	LYN;PLA2G4A
KEGG_2019_Human	Cell adhesion molecules (CAMs)	3/145	0.05344064694345986	0.13261197574858558	0	0	3.658450704225352	10.716273964645149	CD86;PTPRC;ITGAM
KEGG_2019_Human	Epithelial cell signaling in Helicobacter pylori infection	2/68	0.060211953164582034	0.14669821316461806	0	0	5.221870882740448	14.672853473877986	LYN;PLCG2
KEGG_2019_Human	Adherens junction	2/72	0.06656165492627297	0.1585668899387317	0	0	4.922484472049691	13.33809495758359	TGFBR1;TGFBR2
KEGG_2019_Human	Herpes simplex virus 1 infection	6/492	0.06911694508857398	0.1585668899387317	0	0	2.1573796018240463	5.764421974849894	C3;CD74;SP100;SYK;POU2F2;TLR2
KEGG_2019_Human	JAK-STAT signaling pathway	3/162	0.06964983504222735	0.1585668899387317	0	0	3.2644819596160213	8.697477500397559	IL4R;CSF3R;IL13RA1
KEGG_2019_Human	Inositol phosphate metabolism	2/74	0.06981676497302365	0.1585668899387317	0	0	4.785265700483092	12.737808384945149	INPP5D;PLCG2
KEGG_2019_Human	Pancreatic cancer	2/75	0.07146365931211457	0.15960217246372255	0	0	4.719475878499106	12.452649628450873	TGFBR1;TGFBR2
KEGG_2019_Human	Hepatocellular carcinoma	3/168	0.07584395684784583	0.16660803635428428	0	0	3.1448165869218503	8.110724910883746	PLCG2;TGFBR1;TGFBR2
KEGG_2019_Human	Colorectal cancer	2/86	0.09036921704677524	0.1953141142623852	0	0	4.099171842650104	9.853800747407249	TGFBR1;TGFBR2
KEGG_2019_Human	TGF-beta signaling pathway	2/90	0.09757245236015807	0.2075350574009712	0	0	3.9120553359683794	9.10397899223076	TGFBR1;TGFBR2
KEGG_2019_Human	Th1 and Th2 cell differentiation	2/92	0.10123356303411486	0.211957772602678	0	0	3.824734299516908	8.75988430372112	IL4R;NFATC2
KEGG_2019_Human	Amoebiasis	2/96	0.10866783141047727	0.2240229139846762	0	0	3.6612395929694728	8.12597287864551	ITGAM;TLR2
KEGG_2019_Human	Proteoglycans in cancer	3/201	0.11390272140077692	0.2286725568708571	0	0	2.616294524189261	5.6836657370903385	PLCG2;HCLS1;TLR2
KEGG_2019_Human	Phosphatidylinositol signaling system	2/99	0.11433627843542855	0.2286725568708571	0	0	3.5474675033617213	7.693078333781148	INPP5D;PLCG2
KEGG_2019_Human	Other types of O-glycan biosynthesis	1/22	0.1211539515583106	0.2387445516002003	0	0	8.153530377668307	17.209601247902125	ST6GAL1
KEGG_2019_Human	TNF signaling pathway	2/110	0.13572672370997094	0.258886493687699	0	0	3.1843800322061186	6.359562935624684	MAP3K8;TNFRSF1B
KEGG_2019_Human	alpha-Linolenic acid metabolism	1/25	0.13650517374723745	0.258886493687699	0	0	7.1332614942528725	14.205125310287285	PLA2G4A
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	3/219	0.1371712018793032	0.258886493687699	0	0	2.3960769980506824	4.759868019598326	NFATC2;TGFBR1;TGFBR2
KEGG_2019_Human	Cholinergic synapse	2/112	0.13970765779045316	0.26001147422112114	0	0	3.1261660079051383	6.1529299350366475	KCNQ3;PIK3R5
KEGG_2019_Human	Serotonergic synapse	2/113	0.141707689415939	0.2601209641333675	0	0	3.0978456717587157	6.053155958315491	ALOX5;PLA2G4A
KEGG_2019_Human	Neurotrophin signaling pathway	2/119	0.15383302290586715	0.2760411426507471	0	0	2.9380899293942773	5.499773905717405	PLCG2;IRAK3
KEGG_2019_Human	Ras signaling pathway	3/232	0.15490363637017548	0.2760411426507471	0	0	2.2585612502872903	4.212108447859518	CSF1R;PLCG2;PLA2G4A
KEGG_2019_Human	Linoleic acid metabolism	1/29	0.15656064807057302	0.2760411426507471	0	0	6.112992610837438	11.335394432232148	PLA2G4A
KEGG_2019_Human	Relaxin signaling pathway	2/130	0.17654578911629226	0.30655839169828936	0	0	2.6841032608695654	4.65470479344467	TGFBR1;TGFBR2
KEGG_2019_Human	Vascular smooth muscle contraction	2/132	0.18073218615048406	0.30655839169828936	0	0	2.6425418060200667	4.52069926851126	PRKCH;PLA2G4A
KEGG_2019_Human	FoxO signaling pathway	2/132	0.18073218615048406	0.30655839169828936	0	0	2.6425418060200667	4.52069926851126	TGFBR1;TGFBR2
KEGG_2019_Human	Prion diseases	1/35	0.1857810709471489	0.3111832938364744	0	0	5.032707910750507	8.470985190672097	C1QB
KEGG_2019_Human	Apelin signaling pathway	2/137	0.1912622370932607	0.31640913296909795	0	0	2.54402576489533	4.2080980090040665	TGFBR1;PIK3R5
KEGG_2019_Human	African trypanosomiasis	1/37	0.1952963943425118	0.31914288831581195	0	0	4.752634099616858	7.762177399936313	IL18
KEGG_2019_Human	Allograft rejection	1/38	0.200012628709505	0.3229119547840201	0	0	4.623951537744642	7.441670946618215	CD86
KEGG_2019_Human	Apoptosis	2/143	0.20400322345841587	0.3254337136122349	0	0	2.4350292938637064	3.870770009626805	CTSS;CTSC
KEGG_2019_Human	Ferroptosis	1/40	0.20936303672499665	0.3300546696605829	0	0	4.3863837312113185	6.858924708398782	SAT1
KEGG_2019_Human	Graft-versus-host disease	1/41	0.2139975252604069	0.3334380044755177	0	0	4.276508620689655	6.593481768229505	CD86
KEGG_2019_Human	Gastric cancer	2/149	0.2168371366381587	0.3339790380403824	0	0	2.3349304939367053	3.5691951361095686	TGFBR1;TGFBR2
KEGG_2019_Human	Type I diabetes mellitus	1/43	0.2231858518840976	0.33985118355078503	0	0	4.072454844006568	6.107665936441772	CD86
KEGG_2019_Human	Carbohydrate digestion and absorption	1/44	0.22773999949342486	0.34202053211833944	0	0	3.977546110665597	5.884980948650534	SLC2A5
KEGG_2019_Human	ABC transporters	1/45	0.23226767479678276	0.34202053211833944	0	0	3.8869514106583063	5.674423550423376	ABCC4
KEGG_2019_Human	Glycosphingolipid biosynthesis	1/45	0.23226767479678276	0.34202053211833944	0	0	3.8869514106583063	5.674423550423376	B3GNT5
KEGG_2019_Human	Hippo signaling pathway	2/160	0.24053708779093835	0.34759919579590937	0	0	2.17116125481563	3.09364639850816	TGFBR1;TGFBR2
KEGG_2019_Human	Ether lipid metabolism	1/47	0.241244217977758	0.34759919579590937	0	0	3.7175787106446783	5.286194340734912	PLA2G4A
KEGG_2019_Human	Intestinal immune network for IgA production	1/48	0.2456933883496946	0.3480093167264329	0	0	3.638297872340425	5.106972882629434	CD86
KEGG_2019_Human	Arginine and proline metabolism	1/49	0.2501166914505655	0.3480093167264329	0	0	3.5623204022988504	4.936762304809963	SAT1
KEGG_2019_Human	cGMP-PKG signaling pathway	2/166	0.2535222557231454	0.3480093167264329	0	0	2.0910922587486747	2.869613572677056	NFATC2;PIK3R5
KEGG_2019_Human	Vibrio cholerae infection	1/50	0.2545142764118689	0.3480093167264329	0	0	3.4894440534834623	4.7749494804723165	PLCG2
KEGG_2019_Human	N-Glycan biosynthesis	1/50	0.2545142764118689	0.3480093167264329	0	0	3.4894440534834623	4.7749494804723165	ST6GAL1
KEGG_2019_Human	Amyotrophic lateral sclerosis (ALS)	1/51	0.2588862914496857	0.3480802220921142	0	0	3.4194827586206897	4.620973909907677	TNFRSF1B
KEGG_2019_Human	Tight junction	2/170	0.2621899847510666	0.3480802220921142	0	0	2.0408902691511392	2.7321110377092643	HCLS1;RUNX1
KEGG_2019_Human	Influenza A	2/171	0.2643575621220322	0.3480802220921142	0	0	2.028711088242861	2.6991041250591463	CIITA;IL18
KEGG_2019_Human	Autoimmune thyroid disease	1/53	0.2675542005633415	0.3480802220921142	0	0	3.2876326259946946	4.3345237215742465	CD86
