"cell_type","Age","Sex"
"Factor1",59.0399595887077,0,0
"Factor2",127.534743673527,0,0
"Factor3",12.3864248875909,7.479623269483,13.9112027338301
"Factor4",12.0293000528083,5.83179820223741,6.30776776903953
"Factor5",0,2.24218621058609,2.57410545349606
"Factor6",16.6193501298982,2.11088894888857,0
"Factor7",0,4.59006348185206,1.50773239582096
"Factor8",121.984439931501,0,12.3477994577253
"Factor9",1.85463542860806,1.81469874548527,0
"Factor10",5.56549775854589,0,1.58674629157891
"Factor11",0,0,2.72403071254193
"Factor12",0,0,7.96986147579918
"Factor13",3.37543565761737,3.40726265083809,4.43263757995719
