GSM_ID,Factor,Biosource,All_peak_number,Overlap_peak_number,Overlap_ratio
ENCSR274WRI_1,FOSL2,A549;Epithelium;Lung,1717,2,0.0011648223645894002
GSM951855,HSF1,Epithelium;Mammary Gland,1021,1,0.0009794319294809011
GSM1679099,MED1,Liver,1084,1,0.0009225092250922509
GSM710611,TAL1,Haematopoietic Progenitor Cell;Blood,1150,1,0.0008695652173913044
GSM951864,HSF1,MCF-10A;Epithelium;Breast,1286,1,0.0007776049766718507
GSM1717079,WDR5,BE2-C;Neuroblast;Brain,1327,1,0.0007535795026375283
GSM951904,HSF1,Epithelium,1345,1,0.0007434944237918215
GSM951889,HSF1,SKBR-3;Mammary Gland,1393,1,0.0007178750897343862
GSM1424530,JUND,DU145;Epithelium;Prostate,1407,1,0.0007107320540156361
GSM2280018,MED1,MHH-MED-1;Cardiomyocyte,1437,1,0.0006958942240779402
GSM2280041,MED1,MHH-MED-1;Cardiomyocyte,1437,1,0.0006958942240779402
GSM560355,SMC1A,Embryonic Fibroblast,1452,1,0.0006887052341597796
ENCSR775UFR_3,FOSL2,A549;Epithelium;Lung,2908,2,0.000687757909215956
GSM1448893,POLR2A,HeLa;Epithelium;Cervix,1465,1,0.0006825938566552901
GSM1535705,TCF4,HCT-116;Colon,1494,1,0.0006693440428380187
GSM1088664,ZBTB17,HeLa;Epithelium;Cervix,1649,1,0.0006064281382656155
GSM2795974,SMAD2/3,BT-549;Breast,1656,1,0.0006038647342995169
GSM2466535,ZNF337,293T,1684,1,0.0005938242280285036
GSM1265870,LANA,BCBL1;B cell lymphoma,1744,1,0.0005733944954128441
ENCSR391KQC_2,MTA3,MCF-7;Epithelium;Breast,1830,1,0.000546448087431694
GSM1255434,RNF2,Melanocyte,1856,1,0.0005387931034482759
GSM1405102,CPSF3L,HeLa;Epithelium;Cervix,1867,1,0.0005356186395286556
GSM1009627,EP300,Endothelial Cell;Umbilical Vein,1873,1,0.0005339028296849973
ENCSR917MAH_1,JUNB,iPSC,1880,1,0.0005319148936170213
GSM1535700,TCF4,HCT-116;Colon,1884,1,0.0005307855626326964
GSM2151681,POLR2A,MCF-7;Human Breast Cancer Cell;Breast,1930,1,0.0005181347150259067
GSM951895,HSF1,BT-20;Epithelium;Mammary Gland,1983,1,0.0005042864346949068
ENCSR038YKU_1,POLR2A,Stomach,2026,1,0.0004935834155972359
GSM531964,PHF8,HeLa;Epithelium;Cervix,2172,1,0.00046040515653775324
ENCSR067XTW_2,FOSL2,A549;Epithelium;Lung,4350,2,0.0004597701149425287
GSM971334,EP300,Hematopoietic Stem Cell;Blood,2210,1,0.00045248868778280545
ENCSR338PIQ_1,POLR2A,Sigmoid Colon,2250,1,0.00044444444444444447
GSM1097879,ERG,Haematopoietic Progenitor Cell;Blood,2250,1,0.00044444444444444447
GSM2795973,SMAD2/3,BT-549;Breast,2373,1,0.00042140750105351877
GSM2151678,POLR2A,MCF-7;Human Breast Cancer Cell;Breast,2415,1,0.00041407867494824016
GSM1705265,MED1,Embryonic Stem Cell;Embryo,2418,1,0.00041356492969396195
GSM1097882,LYL1,Haematopoietic Progenitor Cell;Blood,2424,1,0.00041254125412541255
GSM2026872,PATZ1,HEK293;Epithelium;Embryonic Kidney,2430,1,0.00041152263374485596
GSM2465109,POLR2A,HeLa;Adherent HeLa cells,2434,1,0.0004108463434675431
GSM2266293,JUND,Calu-3;Lung,7411,3,0.0004048036702199433
ENCSR686HIU_2,FOSL2,A549;Epithelium;Lung,4964,2,0.00040290088638195
GSM608156,NR2C2,HepG2;Epithelium;Liver,2537,1,0.00039416633819471815
GSM607953,TAL1,Megakaryocyte;Cord blood,2540,1,0.0003937007874015748
GSM2670983,POLR2A,HCT-116;HCT116,2550,1,0.000392156862745098
GSM1846795,POLR2A,HeLa;Epithelium;Cervix,2559,1,0.00039077764751856197
GSM1848883,JUN,BT-549;Breast,2582,1,0.0003872966692486445
GSM1143122,NR5A2,MCF-7;Epithelium;Breast,2582,1,0.0003872966692486445
GSM935623,PPARGC1A,HepG2;Epithelium;Liver,2596,1,0.0003852080123266564
GSM1239999,POLR2A,AC16;Cardiomyocyte,2610,1,0.0003831417624521073
GSM2635308,FOSL1,MNNG;Osteosarcoma cell,5233,2,0.00038218994840435696
GSM560343,SMC3,V6.5;Embryonic Stem Cell,2654,1,0.00037678975131876413
GSM1701826,POLR2A,hESC,2719,1,0.0003677822728944465
GSM951897,HSF1,Epithelium;Mammary Gland,2736,1,0.0003654970760233918
GSM1416814,POLR2A,LX2;Hepatic Stellate Cell,2787,1,0.0003588087549336204
GSM2589154,POLR2A,SH-EP,2808,1,0.00035612535612535614
GSM2439240,CUX1,K562;Leukemia Cell,2809,1,0.000355998576005696
GSM1326219,EBF1,Adipocyte;Adipose,2826,1,0.00035385704175513094
GSM1231606,POLR2A,U2OS;Bone,2848,1,0.00035112359550561797
GSM738817,ETV4,PC-3;Epithelium;Prostate,2880,1,0.00034722222222222224
