"Age","Sex","Tangle.Stage","Plaque.Stage","Diagnosis"
"Factor1",8.31942915742144,6.54996089177489,10.8211497511778,7.40763216024685,10.6802386189723
"Factor2",2.71432128218722,2.09001457538682,2.9330015971863,0,2.55837641351947
"Factor3",6.79078093449221,0,0,0,1.77103262515993
"Factor4",2.38061230300269,0,0,0,0
"Factor5",0,0,0,0,0
"Factor6",2.0947205885018,1.7001156165325,2.2324795947262,0,1.83322598788635
"Factor7",0,0,0,0,0
"Factor8",0,0,0,0,0
"Factor9",0,0,0,0,0
"Factor10",1.91329559823726,1.77521184005267,2.38326485101189,1.85163456650668,2.12463810003714
"Factor11",1.42413377890021,1.4295326213376,1.88728607539618,0,1.76261004228016
"Factor12",0,0,0,0,0
"Factor13",0,2.65231068518354,1.32323655622309,0,0
"Factor14",0,0,1.56409964891259,0,2.22481898602931
"Factor15",0,0,0,0,0
"Factor16",0,0,0,0,0
"Factor17",0,0,0,0,0
