"cell_type","Age","Sex"
"Factor1",206.759561409768,0,5.5879674228043
"Factor2",0,4.12298339988228,4.66507430334513
"Factor3",0,1.59276000279737,0
"Factor4",10.7865986892058,0,0
"Factor5",16.2356503320133,0,3.92523297503178
"Factor6",2.71793722072052,0,2.00649158661581
"Factor7",0,0,0
"Factor8",13.0733501350767,0,0
"Factor9",1.40220020406604,0,0
"Factor10",66.4126774170298,0,1.36101445244792
"Factor11",0,4.96738590787409,0
"Factor12",0,0,0
"Factor13",1.98360971492506,0,0
"Factor14",2.18340212337744,2.06300109924132,0
