"Age","Sex","Tangle.Stage","Plaque.Stage","Diagnosis"
"Factor1",2.22094802361908,2.56255315858534,2.24361234149486,0,1.81027689638653
"Factor2",0,0,0,0,0
"Factor3",0,0,0,0,0
"Factor4",0,0,1.92858022372814,2.24786407849122,1.82916076420477
"Factor5",0,0,0,0,0
"Factor6",0,0,0,0,0
"Factor7",0,0,0,0,0
"Factor8",0,0,0,0,0
"Factor9",0,0,0,0,0
"Factor10",0,0,0,0,0
"Factor11",0,0,0,0,0
"Factor12",0,0,0,0,0
"Factor13",2.27764652513539,0,0,0,0
"Factor14",0,0,0,0,0
"Factor15",0,0,0,0,0
"Factor16",0,0,0,0,0
"Factor17",2.22502186329151,0,0,0,0
