GSM_ID,Factor,Biosource,All_peak_number,Overlap_peak_number,Overlap_ratio
GSM1875142,EPO,RL95-2;Uterus,1063,1,0.0009407337723424271
GSM1875141,EPO,RL95-2;Uterus,1154,1,0.0008665511265164644
GSM2635256,NUP153,K562;Erythroblast;Bone Marrow,1156,1,0.0008650519031141869
GSM1573653,CHD1,LNCaP;Epithelium;Prostate,1286,1,0.0007776049766718507
ENCSR987PBI_1,DNMT1,K562;Erythroblast;Bone Marrow,1355,1,0.0007380073800738007
GSM1574278,ZEB1,PANC-1;Pancreatic ductal,1510,1,0.0006622516556291391
GSM831007,KAT2B,K562;Erythroblast;Bone Marrow,1525,1,0.0006557377049180328
GSM1003566,KAT2B,K562;Erythroblast;Bone Marrow,1525,1,0.0006557377049180328
GSM1126879,NR2C2,HeLa;Epithelium;Cervix,1531,1,0.0006531678641410843
GSM2350453,BRD4,C4-2;Prostate,4752,3,0.0006313131313131314
ENCSR591EBL_1,NBN,MCF-7;Epithelium;Breast,1707,1,0.0005858230814294083
GSM1265870,LANA,BCBL1;B cell lymphoma,1744,1,0.0005733944954128441
GSM1598311,HJURP,SW480;Colon,1760,1,0.0005681818181818182
ENCSR086FZL_1,KAT8,K562;Erythroblast;Bone Marrow,1793,1,0.0005577244841048522
GSM1035441,PIAS4,WI-38;Fibroblast;Lung,1794,1,0.0005574136008918618
ENCSR391KQC_2,MTA3,MCF-7;Epithelium;Breast,1830,1,0.000546448087431694
ENCSR197ALX_1,HDGF,K562;Erythroblast;Bone Marrow,1867,1,0.0005356186395286556
GSM2436681,MKL1,A673;Polygonal;Muscle,1904,1,0.0005252100840336134
GSM2190581,MED1,A375;Melanoma Cell,1940,1,0.0005154639175257732
GSM1889903,KDM5C,caki-1;Kidney,1961,1,0.0005099439061703213
ENCSR591EBL_2,NBN,MCF-7;Epithelium;Breast,2031,1,0.0004923682914820286
GSM1405091,ELL2,HeLa;Epithelium;Cervix,2157,1,0.0004636068613815484
GSM956690,FOXK1,HeLa;Epithelium;Cervix,2194,1,0.00045578851412944393
GSM1405092,ELL2,HeLa;Epithelium;Cervix,2203,1,0.00045392646391284613
GSM2311002,SPDEF,A549;Epithelium;Lung,2242,1,0.00044603033006244426
GSM1539057,GTF2I,Fibroblast,2244,1,0.000445632798573975
GSM1875145,LEF1,RL95-2;Uterus,2294,1,0.00043591979075850045
ENCSR197ALX_2,HDGF,K562;Erythroblast;Bone Marrow,2318,1,0.0004314063848144953
GSM2759387,RAD21,IMR-5,4674,2,0.0004278990158322636
GSM935377,BRCA1,GM12878;B Lymphocyte;Blood,2351,1,0.0004253509145044662
GSM1544533,FOXP1,B Lymphocyte,2380,1,0.0004201680672268908
GSM1328964,POLR2A,VCaP;Epithelium;Prostate,2387,1,0.00041893590280687055
GSM1003550,EZH2,NHDF-Ad;Fibroblast;Skin,2392,1,0.0004180602006688963
ENCSR563YDA_1,HDGF,K562;Erythroblast;Bone Marrow,2454,1,0.00040749796251018743
GSM959629,MED1,LS180;Epithelium;Colon,2516,1,0.000397456279809221
GSM1430924,ZBTB17,LS174T;Epithelium;Colon,2521,1,0.0003966679888932963
ENCSR360JOC_1,CHD1,MCF-7;Epithelium;Breast,2527,1,0.0003957261574990107
GSM608156,NR2C2,HepG2;Epithelium;Liver,2537,1,0.00039416633819471815
GSM607953,TAL1,Megakaryocyte;Cord blood,2540,1,0.0003937007874015748
ENCSR563YDA_2,HDGF,K562;Erythroblast;Bone Marrow,2590,1,0.0003861003861003861
GSM1607383,DNMT3A,Stem cell;Foreskin,2710,1,0.00036900369003690036
ENCSR288MOZ_1,LARP7,K562;Erythroblast;Bone Marrow,2755,1,0.0003629764065335753
GSM1937941,CREB1,KG1;Acute myeloid leukemia,2835,1,0.0003527336860670194
GSM608155,NR2C2,HepG2;Epithelium;Liver,2839,1,0.0003522367030644593
GSM1405090,ELL2,HeLa;Epithelium;Cervix,2901,1,0.0003447087211306446
GSM1937943,CREB1,KG1;Acute myeloid leukemia,2905,1,0.00034423407917383823
GSM608159,NR2C2,HeLa-S3;Epithelium;Cervix,2938,1,0.0003403675970047651
GSM697626,SETDB1,WM451-lu;Melanocyte;Skin,2940,1,0.0003401360544217687
GSM2702721,H2AZ,HCT-116;Colon,2985,1,0.00033500837520938025
GSM2576178,JUN,JHU-06;Endothelial Cell,3000,1,0.0003333333333333333
GSM2113532,MYCN,SHEP-21N;Neuroblastoma cell;Bone Marrow,3038,1,0.0003291639236339697
ENCSR278SQL_2,NBN,GM12878;B Lymphocyte;Blood,3074,1,0.00032530904359141186
GSM1003489,EZH2,NHEK;Keratinocyte;Skin,3108,1,0.00032175032175032174
GSM1103547,SSRP1,HT1080;Connective Tissue,3109,1,0.000321646831778707
ENCSR402XII_1,CSDE1,K562;Erythroblast;Bone Marrow,3265,1,0.00030627871362940275
GSM1875146,LEF1,RL95-2;Uterus,3324,1,0.00030084235860409147
ENCSR033VAZ_2,TARDBP,K562;Erythroblast;Bone Marrow,3354,1,0.0002981514609421586
GSM1082928,POLR2A,T Lymphocyte;Blood,3404,1,0.0002937720329024677
ENCSR090JNM_2,HLTF,K562;Erythroblast;Bone Marrow,3411,1,0.0002931691586045148
ENCSR387SYS_1,DEAF1,K562;Erythroblast;Bone Marrow,3453,1,0.0002896032435563278
GSM2311000,SPDEF,A549;Epithelium;Lung,3536,1,0.0002828054298642534
ENCSR494PWZ_2,ZC3H8,K562;Erythroblast;Bone Marrow,3595,1,0.0002781641168289291
