GSM_ID,Factor,Biosource,All_peak_number,Overlap_peak_number,Overlap_ratio
GSM1920690,ARNTL,U2OS;Osteosarcoma cell,1220,2,0.001639344262295082
ENCSR912NMR_2,NONO,MCF-7;Epithelium;Breast,1289,2,0.0015515903801396431
GSM1920693,CLOCK,U2OS;Osteosarcoma cell,1291,2,0.001549186676994578
GSM1208683,SP1,LoVo;Colon,1031,1,0.0009699321047526673
GSM984390,AR,22RV1;Epithelium;Prostate,1038,1,0.0009633911368015414
GSM984380,AR,C4-2B;Epithelium;Prostate,1044,1,0.0009578544061302681
GSM1234499,MYC,P493-6;B cell lymphoma,1055,1,0.0009478672985781991
GSM1003565,NCOR1,K562;Erythroblast;Bone Marrow,1093,1,0.0009149130832570906
GSM935652,NFE2,GM12878;B Lymphocyte;Blood,2222,2,0.0009000900090009
ENCSR465VLK_1,FOXK2,MCF-7;Epithelium;Breast,1133,1,0.00088261253309797
GSM1505785,TAL1,HUES64;Embryonic Stem Cell;Embryo,1185,1,0.0008438818565400844
GSM2466594,ZNF557,293T,1188,1,0.0008417508417508417
GSM2466654,ZNF777,293T,1192,1,0.0008389261744966443
GSM1081127,ARNTL,U2OS;Bone,2422,2,0.0008257638315441783
GSM1468307,MYC,P493-6;B cell lymphoma,1230,1,0.0008130081300813008
GSM1573653,CHD1,LNCaP;Epithelium;Prostate,1286,1,0.0007776049766718507
GSM1920691,ARNTL,U2OS;Osteosarcoma cell,2581,2,0.0007748934521503294
ENCSR347NOB_1,CEBPZ,GM12878;B Lymphocyte;Blood,1291,1,0.000774593338497289
GSM951904,HSF1,Epithelium,1345,1,0.0007434944237918215
ENCSR347NOB_2,CEBPZ,GM12878;B Lymphocyte;Blood,1403,1,0.0007127583749109052
GSM1505694,NR5A2,HUES64;Embryonic Stem Cell;Embryo,1498,1,0.0006675567423230974
GSM1208780,NKX2-2,LoVo;Colon,1590,1,0.0006289308176100629
GSM1423043,PMEL,Melanocytic cell,1639,1,0.0006101281269066504
GSM569088,POLR2A,Jurkat E6-1;T Lymphocyte;Blood,1660,1,0.0006024096385542169
GSM1266815,TEAD4,WA09;Embryonic Stem Cell;Embryo,1734,1,0.0005767012687427913
GSM959625,SRC,LS180;Epithelium;Colon,1804,1,0.0005543237250554324
GSM1573654,CHD1,LNCaP;Epithelium;Prostate,1892,1,0.0005285412262156448
GSM984381,AR,C4-2B;Epithelium;Prostate,1918,1,0.0005213764337851929
GSM754332,FOS,GM12878;B Lymphocyte;Blood,1947,1,0.0005136106831022085
GSM1056922,STAT5,T Lymphocyte;Blood,1973,1,0.0005068423720223011
ENCSR888XZK_1,TCF7L2,K562;Erythroblast;Bone Marrow,1977,1,0.0005058168942842691
